"No.","Time","Source","Destination","Protocol","Length","Info"
"23536","2017-07-31 12:55:40.799824","10.8.227.69","10.8.113.245","UDP","622","20601  >  60536 Len=580"
"23537","2017-07-31 12:55:40.801814","10.8.113.245","10.8.227.69","TLSv1.2","1055","Application Data"
"23538","2017-07-31 12:55:40.804737","10.8.227.69","10.8.113.245","TCP","54","59485  >  443 [FIN, ACK] Seq=901 Ack=2429 Win=65280 Len=0"
"23539","2017-07-31 12:55:40.807419","10.8.113.245","10.8.227.69","TCP","54","443  >  59485 [FIN, ACK] Seq=2429 Ack=902 Win=66048 Len=0"
"23540","2017-07-31 12:55:40.807481","10.8.227.69","10.8.113.245","TCP","54","59485  >  443 [ACK] Seq=902 Ack=2430 Win=65280 Len=0"
"23541","2017-07-31 12:55:40.811120","10.8.227.69","10.8.113.245","TCP","66","59487  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23542","2017-07-31 12:55:40.814904","10.8.113.245","10.8.227.69","TCP","66","443  >  59487 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23543","2017-07-31 12:55:40.815056","10.8.227.69","10.8.113.245","TCP","54","59487  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23544","2017-07-31 12:55:40.830313","10.8.227.69","10.8.113.245","TLSv1.2","571","Client Hello"
"23545","2017-07-31 12:55:40.830471","10.8.227.69","10.8.113.245","UDP","61","20602  >  60535 Len=19"
"23546","2017-07-31 12:55:40.839726","10.8.135.56","10.8.227.69","TLSv1.2","1359","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23547","2017-07-31 12:55:40.848716","10.8.227.69","10.8.135.56","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23548","2017-07-31 12:55:40.863758","10.8.135.56","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23549","2017-07-31 12:55:40.864720","10.8.227.69","10.8.135.56","TLSv1.2","310","Application Data"
"23550","2017-07-31 12:55:40.870665","10.8.135.56","10.8.227.69","TLSv1.2","1059","Application Data"
"23551","2017-07-31 12:55:40.873617","10.8.227.69","10.8.135.56","TCP","54","59486  >  443 [FIN, ACK] Seq=900 Ack=2362 Win=66304 Len=0"
"23552","2017-07-31 12:55:40.876624","10.8.135.56","10.8.227.69","TCP","54","443  >  59486 [FIN, ACK] Seq=2362 Ack=901 Win=66048 Len=0"
"23553","2017-07-31 12:55:40.876690","10.8.227.69","10.8.135.56","TCP","54","59486  >  443 [ACK] Seq=901 Ack=2363 Win=66304 Len=0"
"23554","2017-07-31 12:55:40.880078","10.8.227.69","10.8.135.56","TCP","66","59488  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23555","2017-07-31 12:55:40.884970","10.8.135.56","10.8.227.69","TCP","66","443  >  59488 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23556","2017-07-31 12:55:40.885105","10.8.227.69","10.8.135.56","TCP","54","59488  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23557","2017-07-31 12:55:40.892533","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23558","2017-07-31 12:55:40.893384","10.8.113.245","10.8.227.69","TLSv1.2","1430","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23559","2017-07-31 12:55:40.899931","10.8.227.69","10.8.135.56","TLSv1.2","571","Client Hello"
"23560","2017-07-31 12:55:40.901705","10.8.227.69","10.8.113.245","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23561","2017-07-31 12:55:40.908208","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23562","2017-07-31 12:55:40.915135","10.8.113.245","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23563","2017-07-31 12:55:40.916043","10.8.227.69","10.8.113.245","TLSv1.2","311","Application Data"
"23564","2017-07-31 12:55:40.923953","10.8.113.245","10.8.227.69","TLSv1.2","1054","Application Data"
"23565","2017-07-31 12:55:40.926977","10.8.227.69","10.8.113.245","TCP","54","59487  >  443 [FIN, ACK] Seq=901 Ack=2428 Win=65280 Len=0"
"23566","2017-07-31 12:55:40.930009","10.8.113.245","10.8.227.69","TCP","54","443  >  59487 [FIN, ACK] Seq=2428 Ack=902 Win=66048 Len=0"
"23567","2017-07-31 12:55:40.930074","10.8.227.69","10.8.113.245","TCP","54","59487  >  443 [ACK] Seq=902 Ack=2429 Win=65280 Len=0"
"23568","2017-07-31 12:55:40.933614","10.8.227.69","10.8.113.245","TCP","66","59489  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23569","2017-07-31 12:55:40.937846","10.8.113.245","10.8.227.69","TCP","66","443  >  59489 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23570","2017-07-31 12:55:40.937981","10.8.227.69","10.8.113.245","TCP","54","59489  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23571","2017-07-31 12:55:40.939078","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23572","2017-07-31 12:55:40.953025","10.8.227.69","10.8.113.245","TLSv1.2","571","Client Hello"
"23573","2017-07-31 12:55:40.954698","10.8.227.69","10.8.113.245","UDP","110","20601  >  60536 Len=68"
"23574","2017-07-31 12:55:40.970205","10.8.227.69","10.8.113.245","UDP","622","20601  >  60536 Len=580"
"23575","2017-07-31 12:55:41.024876","10.8.135.56","10.8.227.69","TLSv1.2","1359","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23576","2017-07-31 12:55:41.032880","10.8.227.69","10.8.135.56","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23577","2017-07-31 12:55:41.063161","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23578","2017-07-31 12:55:41.063161","10.8.227.69","10.8.113.245","UDP","61","20602  >  60535 Len=19"
"23579","2017-07-31 12:55:41.078743","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23580","2017-07-31 12:55:41.109739","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23581","2017-07-31 12:55:41.125368","10.8.227.69","10.8.113.245","UDP","110","20601  >  60536 Len=68"
"23582","2017-07-31 12:55:41.140739","10.8.227.69","10.8.113.245","UDP","622","20601  >  60536 Len=580"
"23583","2017-07-31 12:55:41.204490","10.8.135.56","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23584","2017-07-31 12:55:41.205413","10.8.227.69","10.8.135.56","TLSv1.2","310","Application Data"
"23585","2017-07-31 12:55:41.211661","10.8.135.56","10.8.227.69","TLSv1.2","1057","Application Data"
"23586","2017-07-31 12:55:41.214701","10.8.227.69","10.8.135.56","TCP","54","59488  >  443 [FIN, ACK] Seq=900 Ack=2360 Win=66304 Len=0"
"23587","2017-07-31 12:55:41.217213","10.8.135.56","10.8.227.69","TCP","54","443  >  59488 [FIN, ACK] Seq=2360 Ack=901 Win=66048 Len=0"
"23588","2017-07-31 12:55:41.217280","10.8.227.69","10.8.135.56","TCP","54","59488  >  443 [ACK] Seq=901 Ack=2361 Win=66304 Len=0"
"23589","2017-07-31 12:55:41.221331","10.8.227.69","10.8.135.56","TCP","66","59490  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"23590","2017-07-31 12:55:41.224174","10.8.135.56","10.8.227.69","TCP","66","443  >  59490 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1386 WS=256 SACK_PERM=1"
"23591","2017-07-31 12:55:41.224321","10.8.227.69","10.8.135.56","TCP","54","59490  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"23592","2017-07-31 12:55:41.233568","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23593","2017-07-31 12:55:41.241476","10.8.227.69","10.8.135.56","TLSv1.2","571","Client Hello"
"23594","2017-07-31 12:55:41.249200","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23595","2017-07-31 12:55:41.264685","10.8.227.69","10.8.113.245","TCP","571","[TCP Retransmission] 59489  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66304 Len=517"
"23596","2017-07-31 12:55:41.280199","10.8.227.69","10.8.113.245","UDP","366","20601  >  60536 Len=324"
"23597","2017-07-31 12:55:41.295707","10.8.227.69","10.8.113.245","UDP","110","20601  >  60536 Len=68"
"23598","2017-07-31 12:55:41.295708","10.8.227.69","10.8.113.245","UDP","61","20602  >  60535 Len=19"
"23599","2017-07-31 12:55:41.302460","10.8.135.56","10.8.227.69","TLSv1.2","1359","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23600","2017-07-31 12:55:41.311225","10.8.227.69","10.8.113.245","UDP","622","20601  >  60536 Len=580"
"23601","2017-07-31 12:55:41.311379","10.8.227.69","10.8.135.56","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23602","2017-07-31 12:55:41.322135","10.8.113.245","10.8.227.69","TLSv1.2","1430","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"23603","2017-07-31 12:55:41.324017","10.8.135.56","10.8.227.69","TLSv1.2","105","Change Cipher Spec, Hello Request, Hello Request"
"23604","2017-07-31 12:55:41.324920","10.8.227.69","10.8.135.56","TLSv1.2","310","Application Data"
"23605","2017-07-31 12:55:41.330741","10.8.227.69","10.8.113.245","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"23606","2017-07-31 12:55:41.331792","10.8.135.56","10.8.227.69","TLSv1.2","1057","Application Data"
